一擔擔	[jat1 daam1 daam1]		[jat1 daam1 daam1] 半斤八两，彼此差不多（多含贬义）〈熟语〉
除衫	[ceoi4 saam1]		[ceoi4 saam1] 脱衣服〈动〉
隻	[zek3]		[zek3] 只（量词，用于动物、单只鞋袜手脚等）〈量〉
雙皮奶	[soeng1 pei4 naai5]		[soeng1 pei4 naai5] 双皮奶（顺德传统水牛奶甜品）〈名〉
雙糧	[soeng1 loeng4]		[soeng1 loeng4] 十三薪，年底双薪〈名〉
雞蛋仔	[gai1 daan6 zai2]		[gai1 daan6 zai2] 鸡蛋仔（著名香港街头烘焙小吃）〈名〉
離譜	[lei4 pou2]		[lei4 pou2] 离谱，过分，荒唐不合常理〈形〉
雪櫃	[syut3 gwai6]		[syut3 gwai6] 冰箱，电冰箱〈名〉
雲吞麵	[wan4 tan1 min6]		[wan4 tan1 min6] 馄饨面，云吞面〈名〉
電掣	[din6 zai3]		[din6 zai3] 开关，电源插座〈名〉
電視	[din6 si6]		[din6 si6] 电视机，电视节目〈名〉
電話	[din6 waa2]		[din6 waa2] 电话，手机〈名〉
靓仔	[leng3 zai2]		[leng3 zai2] 帅哥（称呼青年男子）；白米饭〈名〉
靓女	[leng3 neoi2]		[leng3 neoi2] 美女（称呼青年女性）〈名〉
靚	[leng3]		[leng3] 美丽，漂亮，质量优良〈形〉
靜	[zing6]		[zing6] 安静，清静，冷清〈形〉
靜雞雞	[zing6 gai1 gai1]		[zing6 gai1 gai1] 悄悄地，偷偷摸摸，暗中〈副〉
鞋	[haai4]		[haai4] 鞋子〈名〉
頂唔順	[ding2 m4 seon6]		[ding2 m4 seon6] 受不了，吃不消，难以忍受〈动〉
頭先	[tau4 sin1]		[tau4 sin1] 刚才，方才〈名/副〉
頭痛	[tau4 tung3]		[tau4 tung3] 头痛，令人发愁〈动/形〉
頸	[geng2]		[geng2] 脖子，颈部〈名〉
風筒	[fung1 tung2]		[fung1 tung2] 吹风机，电吹风〈名〉
食	[sik6]		[sik6] 吃〈动〉
食死貓	[sik6 sei2 maau1]		[sik6 sei2 maau1] 背黑锅，代人受过，蒙冤受屈〈动〉
食藥	[sik6 joek6]		[sik6 joek6] 吃药，服药〈动〉
飲	[jam2]		[jam2] 喝，饮〈动〉
飲茶	[jam2 caa4]		[jam2 caa4] 喝早茶，去茶楼吃点心〈动〉
飽	[baau2]		[baau2] 饱，吃饱〈形〉
餐	[caan1]		[caan1] 顿，番（量词，用于饮食、责骂或打斗）〈量〉
馬馬地	[maa5 maa5 dei2]		[maa5 maa5 dei2] 一般般，马马虎虎，不过尔尔〈形/副〉
驚	[geng1]		[geng1] 害怕，畏惧，恐慌〈动/形〉
鬼馬	[gwai2 maa5]		[gwai2 maa5] 古灵精怪，风趣幽默，滑稽机灵〈形〉
魚蛋	[jyu4 daan2]		[jyu4 daan2] 鱼丸，鱼蛋〈名〉
鳳爪	[fung6 zaau2]		[fung6 zaau2] 酱汁蒸凤爪（鸡爪）〈名〉
鴛鴦	[jin1 joeng1]		[jin1 joeng1] 鸳鸯（咖啡混合奶茶的经典饮品）〈名〉
黑口黑面	[haak1 hau2 haak1 min6]		[haak1 hau2 haak1 min6] 拉长着脸，脸色阴沉难看，面带怒色〈形〉
點心	[dim2 sam1]		[dim2 sam1] 点心（粤式茶点）〈名〉
點樣	[dim2 joeng2]		[dim2 joeng2] 怎样，如何〈副/代〉
點解	[dim2 gaai2]		[dim2 gaai2] 为什么〈副〉
