Aas	[aːs]		死肉；腐肉〈n.〉
Gestank	[ɡɛstank]		臭味〈n.m.〉
Gestapo	[ɡɛstapɔ]		<德>盖世太保；纳粹秘密警察〈n.f.〉
Geständnis	[ɡɛstɛndnɪs]		供词〈n.〉
Gesundheit	[ɡeːzʊndhaɪt]		健康〈n.f.〉
Getreide	[ɡɛtʁaɪdə]		谷粒；颗粒；谷类〈n.〉
Getränk	[ɡɛtʁɛnk]		饮料；酒；喝；喝酒〈n.〉
Getränke	[ɡɛtʁɛnkə]		卖；背叛；销售〈n.〉
Getue	[ɡeːtʊə]		假装；做作；矫情；矫饰〈n.〉
Gewahrsam	[ɡɛvaːʁzaːm]		阻止；监禁；拘留；隔离〈n.m.〉
Gewalt	[ɡɛvalt]		暴力；权力〈n.f.〉
Gewand	[ɡɛvant]		服装；衣着〈n.〉
Gewebe	[ɡɛvəbə]		织物；布；结构〈n.〉
Gewehr	[ɡɛveːɐ]		步枪〈n.〉
Gewerkschaft	[ɡɛvəʁkʃaft]		贸易；商业；交易〈n.f.〉
Gewicht	[ɡɛvɪçt]		体重〈n.〉
Gewinn	[ɡɛvɪn]		收益〈n.m.〉
Gewinner	[ɡɛvɪnɐ]		赢家〈n.m.〉
Gewissen	[ɡɛvɪsən]		良心〈n.〉
Gewissheit	[ɡɛvɪshaɪt]		确实性；确信〈n.f.〉
Gewitter	[ɡɛvɪtɐ]		雷暴雨〈n.〉
Gewohnheit	[ɡɛvoːnhaɪt]		习惯；风俗；海关〈n.f.〉
Gewächshaus	[ɡɛvɛkshaʊs]		温室〈n.〉
Gewässer	[ɡɛvɛsɐ]		贮水池；水域〈n.〉
Gewöhnliches	[ɡɛvøːnlɪçəs]		寻常事；平常事〈n.〉
Geysir	[ɡɛʏziːɐ]		喷泉；间歇泉〈n.m.〉
Gier	[ɡiːɐ]		的变形〈n.f.〉
Gift	[ɡɪft]		毒药〈n.〉
Gipfel	[ɡɪpfəl]		顶点；最高阶层〈n.m.〉
Gips	[ɡɪps]		石膏；灰泥；安慰用品〈n.m.〉
Giraffe	[ɡiːʁafə]		长颈鹿；鹿豹座〈n.f.〉
Gitarre	[ɡiːtaʁə]		吉他〈n.f.〉
Gitter	[ɡɪtɐ]		栅栏〈n.〉
Glanz	[ɡlant͡s]		光泽；光彩；光芒〈n.m.〉
Glas	[ɡlas]		玻璃；玻璃杯〈n.〉
Glatze	[ɡlat͡sə]		秃顶；光头〈n.f.〉
Glaubwürdigkeit	[ɡlaʊbvʏʁdɪɡkaɪt]		可信用；确实性；可靠；证据能力〈n.f.〉
Gleichgewicht	[ɡlaɪçɡəvɪçt]		平衡〈n.〉
Gleichung	[ɡlaɪçʊnk]		相等；等式；平衡；方程式〈n.f.〉
Gleis	[ɡlaɪs]		轨迹；足迹；径迹〈n.〉
Gleiten	[ɡlaɪtən]		滑；滑道；山崩〈n.〉
Glied	[ɡliːt]		环；连结物；链接〈n.〉
Glocke	[ɡlɔkə]		钟〈n.f.〉
Glänzen	[ɡlɛnt͡sən]		闪烁；发光；光彩夺目〈n.m.〉
Gläschen	[ɡlɛʃən]		一点点；少许；一会儿〈n.〉
Gläubiger	[ɡlɔʏbɪɡɐ]		债权人；债主；贷方〈n.m.〉
Glöckchen	[ɡlœkçən]		补锅匠〈n.〉
Glück	[ɡlʏk]		幸运；幸福〈n.〉
Glückspilz	[ɡlʏkspɪlt͡s]		幸运儿；幸运的人〈n.m.〉
Glücksspiel	[ɡlʏkspiːl]		靠碰运气取胜的游戏〈n.〉
Glückssträhne	[ɡlʏkstʁɛːnə]		跑；赛跑；奔跑〈n.f.〉
Glückstag	[ɡlʏkstaːk]		吉日；幸运日〈n.m.〉
Glückwunsch	[ɡlʏkvʊnʃ]		祝贺〈n.m.〉
Glühbirne	[ɡlyːbɪʁnə]		灯泡〈n.f.〉
Gnade	[ɡnaːdə]		仁慈〈n.f.〉
Godzilla	[ɡɔdt͡sɪla]		哥斯拉〈n.〉
Gold	[ɡɔlt]		金子〈n.〉
Golden	[ɡɔldən]		金毛猎犬〈n.〉
Golf	[ɡɔlf]		高尔夫〈n.m.〉
Golfplatz	[ɡɔlfplat͡s]		高尔夫球场〈n.m.〉
Gong	[ɡɔnk]		铜锣〈n.m.〉
Gorilla	[ɡoːʁɪla]		大猩猩；残暴的男人；歹徒〈n.m.〉
Gosse	[ɡɔsə]		排水沟；槽〈n.f.〉
Gott	[ɡɔt]		上帝〈n.m.〉
Gouverneur	[ɡɔʊfəʁnɔʏɐ]		州长〈n.m.〉
Gouverneurs	[ɡɔʊfəʁnɔʏʁs]		州长；省长（属格/复数）〈n.〉
Grab	[ɡʁaːp]		坟墓〈n.〉
Grabstein	[ɡʁabstaɪn]		墓石；墓碑〈n.m.〉
Graf	[ɡʁaːf]		伯爵〈n.m.〉
Gral	[ɡʁaːl]		圣杯〈n.m.〉
Gramm	[ɡʁam]		克；绿豆；鹰嘴豆〈n.〉
Gras	[ɡʁas]		草〈n.〉
Graue	[ɡʁaʊə]		灰色事物；灰暗〈n.〉
Grauen	[ɡʁaʊən]		恐怖〈n.〉
Grausamkeit	[ɡʁaʊzamkaɪt]		野蛮；未开化〈n.f.〉
Great	[ɡʁɛaːt]		大堡礁〈n.〉
Grenze	[ɡʁɛnt͡sə]		边界〈n.f.〉
Griechenland	[ɡʁiːçənlant]		希腊〈n.〉
Grillen	[ɡʁɪlən]		烤肉；烧烤〈n.〉
Grimm	[ɡʁɪm]		愤怒；狂暴；狂怒的人；狂乱〈n.m.〉
Gringo	[ɡʁɪnɡɔ]		外国佬〈n.m.〉
Grinsen	[ɡʁɪnzən]		咧嘴笑〈n.〉
Grips	[ɡʁɪps]		理解；机智〈n.m.〉
Groll	[ɡʁɔl]		生气；不高兴〈n.m.〉
Großbritannien	[ɡʁɔsbʁɪtaniːn]		大不列颠〈n.〉
Großeltern	[ɡʁoːsəltɐn]		外祖父母〈n.〉
Großmaul	[ɡʁɔsmaʊl]		咭咭呱呱说个不停的人；多嘴的人〈n.〉
Großmutter	[ɡʁɔsmʊtɐ]		祖母〈n.f.〉
Großstadt	[ɡʁɔsstadt]		大城市；大都会〈n.f.〉
Großvater	[ɡʁɔsfatɐ]		祖父〈n.m.〉
Großzügigkeit	[ɡʁɔst͡sʏɡɪɡkaɪt]		慷慨；宽宏大量；心胸宽大〈n.f.〉
Grube	[ɡʁuːbə]		深坑；矿井；果核〈n.f.〉
Grund	[ɡʁʊnt]		原因；理由〈n.m.〉
Grundlage	[ɡʁʊndlaɡə]		基础；主要成分；基底〈n.f.〉
Grundlagen	[ɡʁʊndlaɡən]		基本原理；要素〈n.〉
Grundschule	[ɡʁʊndʃʊlə]		小学；初等学校〈n.f.〉
Grundstück	[ɡʁʊndstʏk]		地产〈n.〉
Grunzen	[ɡʁʊnt͡sən]		咕哝〈n.〉
Gruppe	[ɡʁʊpə]		小组〈n.f.〉
Gruß	[ɡʁuːs]		祝贺；问候〈n.m.〉
Gräber	[ɡʁɛːbɐ]		挖掘者〈n.m.〉
Gräfin	[ɡʁɛːfiːn]		伯爵夫人〈n.f.〉
Größe	[ɡʁøːsə]		大小〈n.f.〉
Grübeln	[ɡʁyːbəln]		反刍；沉思；默想〈n.〉
Gründer	[ɡʁʏndɐ]		漂浮者；漂浮物〈n.m.〉
Grüne	[ɡʁyːnə]		草；草原；牧场〈n.〉
Grünen	[ɡʁyːnən]		绿党〈n.〉
Grüner	[ɡʁyːnɐ]		绿党成员；绿色的人〈n.〉
Grünes	[ɡʁyːnəs]		绿色之物；绿植；蔬菜〈n.〉
Grüße	[ɡʁyːsə]		问候；致意〈n.〉
Gummi	[ɡʊmɪ]		橡皮；橡胶；做摩擦动作的人〈n.m.〉
Gurke	[ɡʊʁkə]		黄瓜；胡瓜〈n.f.〉
Gurt	[ɡʊʁt]		干围；周长；肚带；围绕〈n.m.〉
Gustav	[ɡʊstaːf]		一种轻型旅行袋；格拉德斯通；格莱斯顿〈n.〉
Gutschein	[ɡʊt͡ʃaɪn]		证人；保证人；证明者〈n.m.〉
Gänsehaut	[ɡɛnzeːaʊt]		小疙瘩〈n.f.〉
Gärtner	[ɡɛʁtnɐ]		园丁；花匠；园艺家〈n.m.〉
Gästezimmer	[ɡɛstət͡sɪmɐ]		来客住房〈n.〉
Göttin	[ɡœtiːn]		女神〈n.f.〉
Gürtel	[ɡʏʁtəl]		腰带〈n.m.〉
Güte	[ɡyːtə]		善良〈n.f.〉
Haar	[haːɐ]		头发〈n.〉
Haarfarbe	[haːʁfaʁbə]		头发；毛发；些微；毛〈n.f.〉
Haarschnitt	[haːʁʃnɪt]		理发；发式〈n.m.〉
Hackbraten	[hakbʁatən]		肉糜糕；肉馅糕〈n.m.〉
Hacke	[hakə]		鹤嘴锄〈n.f.〉
Hackfleisch	[hakflaɪʃ]		切碎；剁碎；绞碎〈n.〉
Hafen	[haːfən]		港口〈n.m.〉
Haftbefehl	[haftbəfeːl]		逮捕令〈n.m.〉
Hagen	[haːɡən]		哈根〈n.〉
Hahn	[haːn]		公鸡；水龙头〈n.m.〉
Haiti	[haɪtɪ]		海地〈n.〉
Haken	[haːkən]		钩子〈n.m.〉
Halbzeit	[halbt͡saɪt]		半工半薪；半日薪〈n.f.〉
Halleluja	[haləlʊja]		赞美上帝的颂歌〈n.〉
Halluzination	[halʊt͡sɪnat͡sjoːn]		幻觉；幻想〈n.f.〉
Hals	[hals]		脖子〈n.m.〉
Halsband	[halsbant]		衣领；颈圈；控制；扭住衣领〈n.〉
Haltestelle	[haltəstələ]		停止点；爆炸点〈n.f.〉
Haltung	[haltʊnk]		姿态；态度〈n.f.〉
Halunke	[haːlʊnkə]		懦夫〈n.m.〉
Hamburg	[hambʊʁk]		汉堡〈n.〉
Hamburger	[hambʊʁɡɐ]		汉堡包〈n.m.〉
Hammer	[hamɐ]		锤子〈n.m.〉
Hamster	[hamstɐ]		<动>仓鼠〈n.〉
Hand	[hant]		手〈n.f.〉
Handbuch	[handbuːx]		手册〈n.〉
Handel	[handəl]		贸易〈n.m.〉
Handgelenk	[handɡələnk]		桡腕关节〈n.〉
Handlanger	[handlanɡɐ]		帮凶；爪牙；打杂工〈n.m.〉
Handlung	[handlʊnk]		行动；活动；动作〈n.f.〉
Handlungen	[handlʊnɡən]		举动；行为〈n.〉
Handschellen	[handʃələn]		手铐〈n.〉
Handschuh	[handʃuː]		手套〈n.m.〉
Handschuhfach	[handʃuːfaːx]		汽车仪表板上的贮物箱〈n.〉
Handtasche	[handtaʃə]		手提包〈n.f.〉
Handtuch	[handtuːx]		毛巾〈n.〉
Handwerk	[handvəʁk]		手工〈n.〉
Handwerker	[handvəʁkɐ]		工匠；技工；手艺人〈n.m.〉
Handy	[handʏ]		手机〈n.〉
Handynummer	[handʏnʊmɐ]		手机号码〈n.f.〉
Hang	[hank]		责任；债务；倾向〈n.m.〉
Harmonie	[haʁmɔniː]		协调；和睦；调和；和声学〈n.f.〉
Hase	[haːzə]		兔子〈n.m.〉
Hasen	[haːzən]		兔子（Hase 的变格）〈n.〉
Hass	[has]		憎恨〈n.m.〉
Haube	[haʊbə]		软帽；阀盖；阀帽〈n.f.〉
Hauch	[haʊx]		呼吸；气息；瞬间；呼气〈n.m.〉
Haue	[haʊə]		扁斧〈n.f.〉
Haufen	[haʊfən]		堆〈n.m.〉
Haupt	[haʊpt]		飞行员；领航员；航船者〈n.〉
Hauptmann	[haʊptman]		上尉〈n.m.〉
Hauptquartier	[haʊptkvaʁtiːɐ]		总部〈n.〉
Hauptrolle	[haʊptʁɔlə]		领袖；酋长；长官〈n.f.〉
Hauptsache	[haʊptzaxə]		主要的事〈n.f.〉
Hauptstadt	[haʊptstadt]		首都〈n.f.〉
Hauptstraße	[haʊptstʁasə]		主干道；高街〈n.f.〉
Haus	[haʊs]		房子〈n.〉
Hausarbeit	[haʊzaʁbaɪt]		家事；家务〈n.f.〉
Hausaufgabe	[haʊzaʊfɡabə]		作业〈n.f.〉
Hausfrau	[haʊsfʁaʊ]		主妇；家庭妇女〈n.f.〉
Haushalt	[haʊshalt]		一家人；家庭；家族〈n.m.〉
Haushälterin	[haʊshɛltəʁiːn]		主妇；女管家〈n.f.〉
Hausmeister	[haʊsmaɪstɐ]		管理员〈n.m.〉
Haustier	[haʊstiːɐ]		宠物；受宠爱的人；宠坏的孩子〈n.〉
Haut	[haʊt]		皮肤〈n.f.〉
Hautfarbe	[haʊtfaʁbə]		颜色；面色；颜料〈n.f.〉
Havanna	[haːfana]		哈瓦那；哈瓦那雪茄烟〈n.〉
Hebamme	[heːbamə]		助产士；接生婆〈n.f.〉
Hebel	[heːbəl]		杠杆〈n.m.〉
Hebräisch	[hɛbʁɛɪʃ]		希伯来人；希伯来语〈n.〉
Heck	[hɛk]		车尾；船尾〈n.〉
Heer	[heːɐ]		主人；旅馆老板〈n.〉
Hegen	[heːɡən]		养育；营养物；培育〈n.〉
Heiligabend	[haɪlɪɡabənt]		圣诞节前夕〈n.m.〉
Heilmittel	[haɪlmɪtəl]		药物〈n.〉
Heilung	[haɪlʊnk]		治愈的；恢复健康的；修复；恢复〈n.f.〉
Heimat	[haɪmaːt]		家乡〈n.f.〉
Heimweg	[haɪmvək]		路；路线；路途〈n.m.〉
Heimweh	[haɪmveː]		乡愁〈n.〉
Heirat	[haɪʁaːt]		结婚〈n.f.〉
Heizung	[haɪt͡sʊnk]		加热；供热；暖气设备〈n.f.〉
Hektar	[hɛktaːɐ]		公顷〈n.m.〉
Held	[hɛlt]		英雄〈n.m.〉
Heldin	[hɛldiːn]		巾帼英雄；烈妇；女主角；海洛因〈n.f.〉
Helfer	[hɛlfɐ]		帮忙者；有益的东西；助手〈n.m.〉
Helikopter	[heːlɪkɔptɐ]		直升机〈n.m.〉
Hellseher	[hɛlzeːɐ]		神视的；千里眼〈n.m.〉
Helm	[hɛlm]		头盔〈n.m.〉
Hemd	[hɛmt]		衬衫〈n.〉
Hemmungen	[hɛmʊnɡən]		顾虑；心理障碍〈n.〉
Henker	[hɛnkɐ]		刽子手〈n.m.〉
Herausforderung	[heːʁaʊsfɔʁdəʁʊnk]		挑战〈n.f.〉
Herausgeber	[heːʁaʊsɡəbɐ]		选集的编者〈n.m.〉
Herausholen	[heːʁaʊshɔlən]		取回；恢复；检索〈n.〉
Herbst	[hɛʁbst]		秋天〈n.m.〉
Herde	[hɛʁdə]		兽群；鸟群；一群人〈n.f.〉
Herkules	[hɛʁkʊləs]		赫拉克勒斯；大力士；武仙座〈n.m.〉
Herkunft	[hɛʁkʊnft]		出身〈n.f.〉
Heroin	[heːʁɔiːn]		海洛因〈n.〉
Herpes	[hɛʁpəs]		疱疹〈n.m.〉
Herr	[hɛʁ]		先生〈n.m.〉
Herrin	[hɛʁiːn]		女主人〈n.f.〉
Herrlichkeit	[hɛʁlɪçkaɪt]		欣然；快乐〈n.f.〉
Herrschaft	[hɛʁʃaft]		控制；管理；克制〈n.f.〉
Herrscher	[hɛʁʃɐ]		统治者〈n.m.〉
Hersteller	[hɛʁstəlɐ]		生产者；制作者；制作人；发生器〈n.m.〉
Herstellung	[hɛʁstəlʊnk]		制造；建造〈n.f.〉
Herz	[hɛʁt͡s]		心〈n.〉
Herzanfall	[hɛʁt͡sanfal]		心脏病发作〈n.m.〉
Herzfrequenz	[hɛʁt͡sfʁəkvənt͡s]		心；心脏；中心〈n.f.〉
Herzinfarkt	[hɛʁt͡sɪnfaʁkt]		心脏病发作〈n.m.〉
Herzog	[hɛʁt͡soːk]		公爵〈n.m.〉
Herzogin	[hɛʁt͡sɔɡiːn]		公爵夫人〈n.f.〉
Herzschlag	[hɛʁt͡sʃlaːk]		心跳〈n.m.〉
Heu	[hɔʏ]		干草〈n.〉
Heuchler	[hɔʏxlɐ]		伪君子；伪善者〈n.m.〉
Heuhaufen	[hɔʏaʊfən]		干草堆〈n.〉
Heul	[hɔʏl]		不要；禁忌〈n.〉
Hexe	[hɛksə]		女巫〈n.f.〉
Hexerei	[hɛksəʁaɪ]		巫术；魔法；魔力〈n.f.〉
Hilfe	[hɪlfə]		帮助〈n.f.〉
Hilfssheriff	[hɪlfshəʁɪf]		副手；代理人〈n.m.〉
Himmel	[hɪməl]		天空〈n.m.〉
Hindernis	[hɪndəʁnɪs]		障碍；妨碍；闭塞物；梗阻〈n.〉
Hingabe	[hɪnɡabə]		奉献；献身；献辞；专用〈n.f.〉
Hinrichtung	[hɪnʁɪçtʊnk]		处决〈n.f.〉
Hintereingang	[hɪntəʁaɪnɡank]		后门〈n.m.〉
Hintergrund	[hɪntəʁɡʁʊnt]		背景〈n.m.〉
Hinterhalt	[hɪntəʁhalt]		埋伏；伏兵；伏击〈n.m.〉
Hinterhof	[hɪntəʁhoːf]		后院；后庭〈n.m.〉
Hinterkopf	[hɪntəʁkɔpf]		枕部〈n.m.〉
Hintern	[hɪntɐn]		屁股〈n.m.〉
Hintertür	[hɪntəʁtyːɐ]		后门〈n.f.〉
Hinterwäldler	[hɪntəʁvɛldlɐ]		未开垦地〈n.m.〉
Hinterzimmer	[hɪntəʁt͡sɪmɐ]		里屋；密室〈n.〉
Hinweis	[hɪnvaɪs]		提示〈n.m.〉
Hippie	[hɪpiː]		嬉皮士〈n.m.〉
Hirn	[hɪʁn]		脑子〈n.〉
Hirsch	[hɪʁʃ]		鹿〈n.m.〉
Hitze	[hɪt͡sə]		酷热〈n.f.〉
Hobby	[hɔbʏ]		爱好〈n.〉
Hochstapler	[hɔkstaplɐ]		冒名顶替者；骗子；冒牌〈n.m.〉
Hochverrat	[hɔxfəʁaːt]		叛国罪；大逆不道罪〈n.m.〉
Hochwürden	[hɔxvʏʁdən]		教长〈n.m.〉
Hochzeit	[hɔxt͡saɪt]		婚礼〈n.f.〉
Hochzeitsgeschenk	[hɔxt͡saɪtsɡəʃənk]		婚礼；结婚；结婚周年纪念日〈n.〉
Hochzeitskleid	[hɔxt͡saɪtsklaɪt]		结婚礼服〈n.〉
Hochzeitsreise	[hɔxt͡saɪtsʁaɪzə]		蜜月〈n.f.〉
Hochzeitstag	[hɔxt͡saɪtstaːk]		结婚纪念日〈n.m.〉
Hochziehen	[hɔxt͡siːən]		升高；起重机；推动；升起〈n.〉
Hocker	[hɔkɐ]		凳子；大便；粪便〈n.m.〉
Hockey	[hɔkɛʏ]		曲棍球〈n.〉
Hoden	[hoːdən]		睾丸〈n.m.〉
Hof	[hoːf]		庭院〈n.m.〉
Hoffnung	[hɔfnʊnk]		希望〈n.f.〉
Hoffnungen	[hɔfnʊnɡən]		伪造；歪曲；说谎〈n.〉
Holland	[hɔlant]		荷兰〈n.〉
Holländer	[hɔlɛndɐ]		荷兰人；荷兰船；打浆机；荷兰式打纸浆机〈n.m.〉
Hologramm	[hoːlɔɡʁam]		全息图〈n.〉
Holz	[hɔlt͡s]		木头〈n.〉
Homeland	[hoːməlant]		黑色〈n.〉
Honig	[hoːnɪç]		蜂蜜〈n.m.〉
Honorar	[hoːnɔʁaːɐ]		费用；小费；封地〈n.〉
Hopp	[hɔp]		去；走；达到〈n.〉
Hoppla	[hɔpla]		哦〈n.〉
Horizont	[hoːʁɪt͡sɔnt]		地平线；眼界；视地平〈n.m.〉
Horn	[hɔʁn]		号角〈n.〉
Horror	[hɔʁoːɐ]		惊骇；恐怖；惨状〈n.〉
Hose	[hoːzə]		裤子〈n.f.〉
Hosentasche	[hoːzəntaʃə]		裤兜；裤袋〈n.f.〉
Hotdog	[hɔtdoːk]		玉米狗〈n.〉
Hotel	[hoːtəl]		旅馆〈n.〉
Hotelzimmer	[hoːtəlt͡sɪmɐ]		酒店房间；旅馆房间〈n.〉
Hubschrauber	[hʊbʃʁaʊbɐ]		直升机〈n.m.〉
Huhn	[huːn]		母鸡〈n.〉
Hummer	[hʊmɐ]		龙虾〈n.m.〉
Humor	[huːmoːɐ]		幽默〈n.m.〉
Hund	[hʊnt]		狗〈n.m.〉
Hundegebell	[hʊndəɡəbəl]		狗；坏蛋；跟踪；尾随〈n.〉
Hunderter	[hʊndəʁtɐ]		百位数；一百元纸币〈n.m.〉
Hunger	[hʊnɡɐ]		饥饿〈n.m.〉
Hungern	[hʊnɡɐn]		饥饿；饿死；绝食；饥锇〈n.〉
Hupe	[huːpə]		角；角质；喇叭〈n.f.〉
Hurley	[hʊʁlɛʏ]		赫尔利〈n.〉
Hut	[huːt]		帽子〈n.m.〉
Hypnose	[hʏpnoːzə]		催眠状态；催眠术；催眠〈n.f.〉
Hypothek	[hʏpɔtək]		抵押；约束性义务〈n.f.〉
Hypothese	[hʏpɔtəzə]		假设〈n.f.〉
Hähnchen	[hɛːnçən]		小公鸡〈n.〉
Hälfte	[hɛlftə]		一半〈n.f.〉
Händchen	[hɛndçən]		手搀手〈n.〉
Händler	[hɛndlɐ]		商人；商船；交易者〈n.m.〉
Häuptling	[hɔʏptlɪnk]		首领〈n.m.〉
Häuschen	[hɔʏʃən]		小屋；门房；支部〈n.〉
Höflichkeit	[hœflɪçkaɪt]		有礼；优雅〈n.f.〉
Höhe	[høːə]		高度〈n.f.〉
Höhen	[høːən]		高度；高空；高峰（复数）〈n.〉
Höhepunkt	[høːəpʊnkt]		高潮；极点〈n.m.〉
Höhle	[høːlə]		洞穴〈n.f.〉
Hörer	[høːʁɐ]		听者；听众〈n.m.〉
Hügel	[hyːɡəl]		小山〈n.m.〉
Hühnchen	[hyːnçən]		鸡（菜肴）〈n.〉
Hülle	[hʏlə]		信封；封套；封袋；膜〈n.f.〉
Hündchen	[hʏndçən]		小狗；幼畜〈n.〉
Hündin	[hʏndiːn]		母狗；母狼；母狐〈n.f.〉
Hütte	[hʏtə]		小屋〈n.f.〉
Ideal	[iːdɛaːl]		理想；典范；观念〈n.〉
Idee	[iːdeː]		主意〈n.f.〉
Identifizierung	[iːdəntɪfɪt͡siːʁʊnk]		识别；身份证明；认同；鉴定〈n.f.〉
Identität	[iːdəntɪtɛːt]		身份〈n.f.〉
Identitäten	[iːdəntɪtɛtən]		恒等性〈n.〉
Idiot	[iːdɪoːt]		傻瓜〈n.m.〉
Idol	[iːdoːl]		偶像；崇拜物；宠儿〈n.〉
Illinois	[ɪlɪnɔɪs]		伊利诺州〈n.〉
Illusion	[ɪlʊzɪoːn]		幻觉〈n.f.〉
Image	[iːmaɡə]		在公众心目中的形象〈n.〉
Imbiss	[ɪmbɪs]		小吃；点心〈n.m.〉
Immunität	[ɪmʊnɪtɛːt]		免疫；免疫性；免除〈n.f.〉
Immunsystem	[ɪmʊnzʏstəm]		免疫系统〈n.〉
Imperator	[ɪmpəʁatoːɐ]		皇帝；君主〈n.m.〉
Impfstoff	[ɪmpfstɔf]		疫苗〈n.m.〉
Impuls	[ɪmpʊls]		冲动；驱使；刺激〈n.m.〉
Inder	[ɪndɐ]		印度河；印第安座〈n.m.〉
Indiana	[ɪndɪana]		亚利桑那州〈n.〉
Indianer	[ɪndɪanɐ]		印第安人〈n.m.〉
Indien	[ɪndiːn]		印度〈n.〉
Indische	[ɪndɪʃə]		串；丛；群〈n.〉
Industrie	[ɪndʊstʁiː]		勤劳；工业；企业〈n.f.〉
Infanterie	[ɪnfantəʁiː]		步兵；步兵团〈n.f.〉
Infektion	[ɪnfəkt͡sjoːn]		感染〈n.f.〉
Informant	[ɪnfɔʁmant]		提供消息者；密告者；被调查者；填报人〈n.m.〉
Information	[ɪnfɔʁmat͡sjoːn]		信息〈n.f.〉
Ingenieur	[ɪnɡəni̯euːɐ]		工程师〈n.m.〉
Inhalt	[ɪnhalt]		内容〈n.m.〉
Initiative	[iːnɪtɪatɪfə]		主动行动；首创精神〈n.f.〉
Injektion	[ɪnjəkt͡sjoːn]		注射；注射剂；注入〈n.f.〉
Inn	[ɪn]		旅馆〈n.m.〉
Innenstadt	[ɪnənstadt]		市中心；城市商业中心区〈n.f.〉
Inquisition	[ɪnkvɪzɪt͡sjoːn]		调查；探究；审理〈n.f.〉
Insekt	[ɪnzəkt]		昆虫；卑鄙的人〈n.〉
Insel	[ɪnzəl]		岛〈n.f.〉
Inspektor	[ɪnspəktoːɐ]		检察官〈n.m.〉
Inspiration	[ɪnspɪʁat͡sjoːn]		灵感；鼓舞人心的人或物；妙计〈n.f.〉
Installieren	[ɪnstaliːʁən]		安装；插入；任命〈n.〉
Instinkt	[ɪnstɪnkt]		本能〈n.m.〉
Institut	[ɪnstɪtuːt]		学会；学院；协会；创立〈n.〉
Institution	[ɪnstɪtʊt͡sjoːn]		实体；实存物；存在〈n.f.〉
Instrument	[ɪnstʁʊmənt]		工具；手段；仪器〈n.〉
Instrumentalmusik	[ɪnstʁʊməntalmʊziːk]		器乐〈n.f.〉
Intelligenz	[ɪntəlɪɡənt͡s]		智力〈n.f.〉
Interesse	[ɪntəʁəsə]		兴趣〈n.〉
Internat	[ɪntəʁnaːt]		寄宿学校〈n.〉
Internationale	[ɪntəʁnat͡sjoːnalə]		国际（组织）；国际歌〈n.〉
Internationaler	[ɪntəʁnat͡sjoːnalɐ]		国际的（变化形式）〈n.〉
Internet	[ɪntəʁnət]		互联网〈n.〉
Interpretation	[ɪntəʁpʁətat͡sjoːn]		解说；说明；解释〈n.f.〉
Interview	[ɪntəʁfiːv]		采访〈n.〉
Intuition	[ɪntʊɪt͡sjoːn]		直觉；第六感〈n.f.〉
Invasion	[ɪnfazɪoːn]		侵犯；侵入；侵害；侵袭〈n.f.〉
Iowa	[ɪɔva]		衣阿华州〈n.〉
Iran	[iːʁaːn]		伊朗〈n.m.〉
Ire	[iːʁə]		爱尔兰人〈n.m.〉
Irische	[iːʁɪʃə]		爱尔兰人〈n.〉
Irland	[ɪʁlant]		爱尔兰〈n.〉
Ironie	[iːʁɔniː]		反语；讽刺；具有讽刺意味的事〈n.f.〉
Irrenhaus	[ɪʁənhaʊs]		精神病院；极为吵闹的场所〈n.〉
Irrsinn	[ɪʁzɪn]		疯狂；愚蠢的行为；狂〈n.m.〉
Irrtum	[ɪʁtuːm]		错误〈n.m.〉
Islam	[ɪslaːm]		伊斯兰教〈n.m.〉
Isolation	[iːzɔlat͡sjoːn]		隔绝；孤立；隔离；分离〈n.f.〉
Istanbul	[ɪstanbuːl]		伊斯坦布尔〈n.〉
Italien	[iːtaliːn]		意大利〈n.〉
Italiener	[iːtaliːnɐ]		意大利人〈n.m.〉
Italienisch	[iːtaliːnɪʃ]		意大利语〈n.〉
Italienische	[iːtaliːnɪʃə]		意大利语；意大利风格〈n.〉
Jacke	[jakə]		夹克〈n.f.〉
Jackett	[jakət]		夹克；外套〈n.〉
Jade	[jaːdə]		玉；翡翠〈n.〉
Jagd	[jaɡt]		打猎〈n.f.〉
Jahr	[jaːɐ]		年〈n.〉
Jahrestag	[jaːʁəstaːk]		周年纪念〈n.m.〉
Jahreszeit	[jaːʁəst͡saɪt]		季节；时节；当令期〈n.f.〉
Jahrgang	[jaːʁɡank]		年；年度；年龄〈n.m.〉
Jahrhundert	[jaːʁhʊndəʁt]		世纪〈n.〉
Jahrmarkt	[jaːʁmaʁkt]		展览会；市集〈n.m.〉
Jamaika	[jaːmaɪka]		牙买加〈n.〉
Jammer	[jamɐ]		坏脾气〈n.m.〉
Jammern	[jamɐn]		叹息；悲叹；抱怨〈n.〉
Januar	[jaːnʊaːɐ]		一月〈n.m.〉
Japan	[jaːpaːn]		日本〈n.〉
Japaner	[jaːpanɐ]		日本人〈n.m.〉
Japanische	[jaːpanɪʃə]		日语；日本事物〈n.〉
Jasmine	[jasmɪnə]		茉莉；钩吻根〈n.〉
Jerusalem	[jeːʁʊzaləm]		耶路撒冷〈n.〉
Job	[joːp]		工作〈n.m.〉
Joghurt	[jɔɡhʊʁt]		酸乳酪；酸乳〈n.〉
Johannes	[joːanəs]		盥洗室；厕所；嫖客〈n.〉
