abaisser	[abese]		降低；放下〈v.〉
convertir	[kɔ̃vɛʁtiʁ]		转变；转换；使皈依〈v.〉
conviction	[kɔ̃viksjɔ̃]		信念；确信〈n.f.〉
convier	[kɔ̃vje]		邀请〈v.〉
convoi	[kɔ̃vwa]		车队；护送〈n.m.〉
convoiter	[kɔ̃vwate]		觊觎；垂涎〈v.〉
convoquer	[kɔ̃voke]		召集；传唤〈v.〉
cookie	[kuki]		曲奇饼〈n.m.〉
cool	[kul]		酷；不错（口语）〈adj.〉
coopératif	[koopeʁatif]		合作的；合作制的〈adj.〉
coopération	[koopeʁasjɔ̃]		合作〈n.f.〉
coopérer	[koopeʁe]		合作〈v.〉
coordonnée	[koɔʁdone]		坐标〈n.f.〉
copain	[kopɛ̃]		朋友；伙伴；男朋友〈n.m.〉
copie	[kopi]		副本；复印件〈n.f.〉
copier	[kopje]		抄写；复制；抄袭〈v.〉
coq	[kɔk]		公鸡〈n.m.〉
coque	[kɔk]		壳；船体〈n.f.〉
coquillage	[kokijaʒ]		贝壳〈n.m.〉
coquille	[kokij]		贝壳；外壳〈n.f.〉
coquin	[kokɛ̃]		顽童；坏蛋〈n.m.〉
cor	[kɔʁ]		圆号；号角〈n.m.〉
corbeau	[kɔʁbo]		乌鸦〈n.m.〉
corbeille	[kɔʁbɛj]		篮子；花篮；垃圾桶〈n.f.〉
corde	[kɔʁd]		绳子〈n.f.〉
cordon	[kɔʁdɔ̃]		绳带；电线；警戒线〈n.m.〉
coriace	[koʁjas]		坚韧的；难对付的〈adj.〉
corne	[kɔʁn]		角；号角〈n.f.〉
cornichon	[kɔʁniʃɔ̃]		酸黄瓜〈n.m.〉
corporel	[kɔʁpoʁɛl]		身体的；肉体的〈adj.〉
corps	[kɔʁ]		身体；躯体〈n.m.〉
correct	[koʁɛkt]		正确的；得体的〈adj.〉
correctement	[koʁɛktəmɑ̃]		正确地；得体地〈adv.〉
correction	[koʁɛksjɔ̃]		修改；批改；纠正〈n.f.〉
correspondance	[koʁɛspɔ̃dɑ̃s]		通信；函件；换乘〈n.f.〉
correspondant	[koʁɛspɔ̃dɑ̃]		通信者；驻地记者；对应物〈n.m.〉
correspondre	[koʁɛspɔ̃dʁ]		符合；通信〈v.〉
corriger	[koʁiʒe]		改正；批改〈v.〉
corrompre	[koʁɔ̃pʁ]		使腐败；收买〈v.〉
corrompu	[koʁɔ̃py]		腐败的；堕落的〈adj.〉
corruption	[koʁypsjɔ̃]		腐败；贪污〈n.f.〉
corse	[kɔʁs]		科西嘉的；科西嘉人〈adj.〉
cortex	[kɔʁtɛks]		皮层；大脑皮层〈n.m.〉
cortège	[kɔʁtɛʒ]		车队；行列〈n.m.〉
corvée	[kɔʁve]		苦差事；劳役〈n.f.〉
coréen	[koʁeɛ̃]		韩国的；韩语的〈adj.〉
cosmique	[kɔsmik]		宇宙的〈adj.〉
cosmos	[kɔsmos]		宇宙〈n.m.〉
costard	[kɔstaʁ]		西装（口语）〈n.m.〉
costaud	[kɔsto]		结实的；壮实的〈adj.〉
costume	[kɔstym]		男西装；套装；戏服〈n.m.〉
cote	[kɔt]		行情；评分〈n.f.〉
coton	[kotɔ̃]		棉花〈n.m.〉
coté	[kote]		受青睐的；行情好的〈adj.〉
cou	[ku]		脖子〈n.m.〉
couche	[kuʃ]		层；尿布〈n.f.〉
coucher	[kuʃe]		使躺下；就寝〈v.〉
couché	[kuʃe]		躺着的；睡下的〈adj.〉
coucou	[kuku]		布谷鸟；你好（亲昵）〈n.m.〉
coude	[kud]		肘；肘部〈n.m.〉
coudre	[kudʁ]		缝纫；缝制〈v.〉
couille	[kuj]		睾丸（粗俗）〈n.f.〉
couillon	[kujɔ̃]		蠢货；笨蛋（粗俗）〈n.m.〉
couler	[kule]		流淌；沉没〈v.〉
couleur	[kulœʁ]		颜色；彩色〈n.f.〉
coulisse	[kulis]		（舞台）侧幕；幕后〈n.f.〉
couloir	[kulwaʁ]		走廊；过道〈n.m.〉
coup	[ku]		打；击；一下〈n.m.〉
coupable	[kupabl]		有罪的；内疚的〈adj.〉
coupe	[kup]		奖杯；杯子；剪裁〈n.f.〉
couper	[kupe]		切；割；剪〈v.〉
couple	[kupl]		一对；夫妇；情侣〈n.〉
coupure	[kupyʁ]		伤口；中断；剪报〈n.f.〉
coupé	[kupe]		切开的；剪断的〈adj.〉
cour	[kuʁ]		院子；宫廷〈n.f.〉
courage	[kuʁaʒ]		勇气〈n.m.〉
courageux	[kuʁaʒø]		勇敢的；有胆量的〈adj.〉
courant	[kuʁɑ̃]		水流；电流〈n.m.〉
courbe	[kuʁb]		曲线；弯道〈n.f.〉
courber	[kuʁbe]		使弯曲〈v.〉
coureur	[kuʁœʁ]		跑步者；赛跑选手〈n.m.〉
courge	[kuʁʒ]		瓜类；葫芦；傻瓜（俚语）〈n.f.〉
courir	[kuʁiʁ]		跑；奔跑〈v.〉
couronne	[kuʁɔn]		王冠；花环〈n.f.〉
couronnement	[kuʁɔnəmɑ̃]		加冕；顶峰〈n.m.〉
couronner	[kuʁone]		加冕；圆满完成〈v.〉
courrier	[kuʁje]		邮件；信件〈n.m.〉
cours	[kuʁ]		课；课程〈n.〉
course	[kuʁs]		购物；奔跑；比赛〈n.f.〉
coursier	[kuʁsje]		信使；送件员〈n.m.〉
court	[kuʁ]		短的〈adj.〉
courtier	[kuʁtje]		经纪人；掮客〈n.m.〉
courtisan	[kuʁtizɑ̃]		朝臣；谄媚者〈n.m.〉
courtiser	[kuʁtize]		追求；献殷勤〈v.〉
courtoisie	[kuʁtwazi]		彬彬有礼；殷勤〈n.f.〉
cousin	[kuzɛ̃]		堂兄弟；表兄弟〈n.m.〉
coussin	[kusɛ̃]		靠垫；垫子〈n.m.〉
couteau	[kuto]		刀〈n.m.〉
coutume	[kutym]		习俗；惯例〈n.f.〉
couture	[kutyʁ]		缝纫；时装业〈n.f.〉
couturier	[kutyʁje]		裁缝；时装设计师〈n.m.〉
couvent	[kuvɑ̃]		修道院〈n.m.〉
couver	[kuve]		孵卵；酝酿〈v.〉
couvercle	[kuvɛʁkl]		盖子〈n.m.〉
couvert	[kuvɛʁ]		餐具；盖子〈n.m.〉
couverture	[kuvɛʁtyʁ]		被子；封面；覆盖〈n.f.〉
couvre-feu	[kuvʁəfø]		宵禁〈n.m.〉
couvrir	[kuvʁiʁ]		覆盖；遮盖〈v.〉
coyote	[kojɔt]		郊狼〈n.m.〉
coéquipier	[koekipje]		队友〈n.m.〉
coïncidence	[koɛ̃sidɑ̃s]		巧合〈n.f.〉
coût	[ku]		成本；费用〈n.m.〉
coûter	[kute]		花费；值（多少钱）〈v.〉
coûteux	[kutø]		昂贵的〈adj.〉
crabe	[kʁab]		螃蟹〈n.m.〉
cracher	[kʁaʃe]		吐；吐痰〈v.〉
crack	[kʁak]		能手；高手〈n.m.〉
cracker	[kʁakɛʁ]		脆薄饼干〈n.m.〉
craie	[kʁɛ]		粉笔〈n.f.〉
craindre	[kʁɛ̃dʁ]		害怕；担忧〈v.〉
crainte	[kʁɛ̃t]		恐惧；担忧〈n.f.〉
cramer	[kʁame]		烧糊；烤焦（口语）〈v.〉
crampe	[kʁɑ̃p]		抽筋；痉挛〈n.f.〉
cran	[kʁɑ̃]		凹口；胆量（口语）〈n.m.〉
crapaud	[kʁapo]		蟾蜍〈n.m.〉
crapule	[kʁapyl]		恶棍；无赖〈n.f.〉
craquement	[kʁakəmɑ̃]		咔嚓声；爆裂声〈n.m.〉
craquer	[kʁake]		断裂；着迷；崩溃〈v.〉
crash	[kʁaʃ]		坠机；崩盘〈n.m.〉
crasse	[kʁas]		污垢〈n.f.〉
cratère	[kʁatɛʁ]		火山口；弹坑〈n.m.〉
cravate	[kʁavat]		领带〈n.f.〉
crayon	[kʁɛjɔ̃]		铅笔〈n.m.〉
creuser	[kʁøze]		挖；掘〈v.〉
creux	[kʁø]		空心的；凹陷的；空洞的〈adj.〉
crever	[kʁəve]		爆裂；累坏；（口语）死〈v.〉
crevette	[kʁəvɛt]		虾；小虾〈n.f.〉
crevé	[kʁəve]		累坏的；爆了胎的〈adj.〉
cri	[kʁi]		喊叫声；尖叫〈n.m.〉
cricket	[kʁikɛt]		板球〈n.m.〉
crier	[kʁije]		喊叫；大叫〈v.〉
crime	[kʁim]		罪行；犯罪〈n.m.〉
criminel	[kʁiminɛl]		罪犯；犯罪的〈n.m.〉
crinière	[kʁinjɛʁ]		鬃毛〈n.f.〉
crise	[kʁiz]		危机〈n.f.〉
cristal	[kʁistal]		水晶〈n.m.〉
critique	[kʁitik]		批评；评论；评论家〈n.〉
critiquer	[kʁitike]		批评；评论〈v.〉
critère	[kʁitɛʁ]		标准；准则〈n.m.〉
croc	[kʁo]		犬牙；（衣）钩扣〈n.m.〉
crochet	[kʁoʃɛ]		钩；钩针编织〈n.m.〉
crocodile	[kʁokodil]		鳄鱼〈n.m.〉
croire	[kʁwaʁ]		相信；认为〈v.〉
croisade	[kʁwazad]		十字军东征；圣战〈n.f.〉
croisement	[kʁwazəmɑ̃]		交叉路口；交叉；杂交〈n.m.〉
croiser	[kʁwaze]		交叉；使交叉〈v.〉
croisière	[kʁwazjɛʁ]		乘船游；巡游〈n.f.〉
croissance	[kʁwasɑ̃s]		增长；生长〈n.f.〉
croissant	[kʁwasɑ̃]		羊角面包；新月〈n.m.〉
croisé	[kʁwaze]		交叉的；十字形的〈adj.〉
croix	[kʁwa]		十字；十字架〈n.f.〉
croque-mort	[kʁɔkmɔʁ]		殡葬工（口语）〈n.m.〉
croquer	[kʁoke]		咬；啃；速写〈v.〉
croquis	[kʁoki]		素描；速写〈n.m.〉
crotte	[kʁɔt]		粪便；屎〈n.f.〉
crouler	[kʁule]		坍塌；崩溃〈v.〉
croyable	[kʁwajabl]		可信的〈adj.〉
croyance	[kʁwajɑ̃s]		信念；信仰〈n.f.〉
croyant	[kʁwajɑ̃]		信徒；信教的〈adj.〉
croître	[kʁwatʁ]		增长〈v.〉
croûte	[kʁut]		面包皮；痂〈n.f.〉
cru	[kʁy]		生的；未加工的〈adj.〉
cruauté	[kʁyote]		残忍；残酷〈n.f.〉
cruche	[kʁyʃ]		壶；水罐；笨蛋〈n.f.〉
crucial	[kʁysjal]		关键的；决定性的〈adj.〉
crucifier	[kʁysifje]		钉上十字架；折磨〈v.〉
cruel	[kʁyɛl]		残忍的；残酷的〈adj.〉
crypte	[kʁipt]		地窖；（教堂）地下室〈n.f.〉
crâne	[kʁan]		头颅；脑袋〈n.m.〉
crèche	[kʁɛʃ]		托儿所；马槽〈n.f.〉
crème	[kʁɛm]		奶油；乳霜〈n.〉
crève	[kʁɛv]		重感冒（口语）〈n.f.〉
créateur	[kʁeatœʁ]		创造者；设计师〈n.m.〉
créatif	[kʁeatif]		有创造力的〈adj.〉
création	[kʁeasjɔ̃]		创造；创作〈n.f.〉
créature	[kʁeatyʁ]		创造物；生物〈n.f.〉
crédible	[kʁedibl]		可信的〈adj.〉
crédit	[kʁedi]		信贷；赊购〈n.m.〉
créer	[kʁee]		创造；创建〈v.〉
crépuscule	[kʁepyskyl]		黄昏；暮色〈n.m.〉
crétin	[kʁetɛ̃]		白痴；蠢货（骂）〈n.m.〉
crêpe	[kʁɛp]		可丽饼；薄饼〈n.〉
crête	[kʁɛt]		鸡冠；峰顶〈n.f.〉
cubain	[kybɛ̃]		古巴的；古巴人〈adj.〉
cube	[kyb]		立方体〈n.m.〉
cueillir	[kœjiʁ]		采摘；采集〈v.〉
cuillère	[kɥijɛʁ]		勺子；匙〈n.f.〉
cuir	[kɥiʁ]		皮革〈n.m.〉
cuire	[kɥiʁ]		烧煮；烤〈v.〉
cuisine	[kɥizin]		厨房；烹饪〈n.f.〉
cuisiner	[kɥizine]		做饭；烹饪〈v.〉
cuisinier	[kɥizinje]		厨师〈n.m.〉
cuisse	[kɥis]		大腿〈n.f.〉
cuit	[kɥi]		熟的；煮熟的〈adj.〉
cuivre	[kɥivʁ]		铜；铜器〈n.m.〉
cul	[ky]		臀部；屁股（粗俗）〈n.m.〉
culot	[kylo]		厚脸皮；大胆（口语）〈n.m.〉
culotte	[kylɔt]		内裤；短裤〈n.f.〉
culpabiliser	[kylpabilize]		使内疚；自责〈v.〉
culpabilité	[kylpabilite]		过错；内疚〈n.f.〉
culte	[kylt]		礼拜；崇拜〈n.m.〉
cultiver	[kyltive]		种植；培养〈v.〉
cultivé	[kyltive]		有教养的；有文化的〈adj.〉
culture	[kyltyʁ]		文化；耕作〈n.f.〉
culturel	[kyltyʁɛl]		文化的〈adj.〉
cure	[kyʁ]		疗程；疗养〈n.f.〉
curieux	[kyʁjø]		好奇的；奇怪的〈adj.〉
curiosité	[kyʁjozite]		好奇心；珍品〈n.f.〉
curé	[kyʁe]		本堂神父〈n.m.〉
cutter	[kytɛʁ]		美工刀；快艇〈n.m.〉
cuvette	[kyvɛt]		盆；马桶；洼地〈n.f.〉
cyanure	[sjanyʁ]		氰化物〈n.m.〉
cycle	[sikl]		周期；循环〈n.m.〉
cygne	[siɲ]		天鹅〈n.m.〉
cynique	[sinik]		愤世嫉俗的；犬儒的〈adj.〉
câble	[kabl]		电缆；缆绳〈n.m.〉
câlin	[kalɛ̃]		拥抱；依偎〈n.m.〉
céder	[sede]		让步；出让〈v.〉
céleste	[selɛst]		天上的；天空的〈adj.〉
célibataire	[selibatɛʁ]		单身的；未婚者〈adj.〉
célèbre	[selɛbʁ]		著名的〈adj.〉
célébration	[selebʁasjɔ̃]		庆祝；庆典〈n.f.〉
célébrer	[selebʁe]		庆祝；颂扬〈v.〉
célébrité	[selebʁite]		名人；名声〈n.f.〉
céréale	[seʁeal]		谷物；谷类食物〈n.f.〉
cérébral	[seʁebʁal]		大脑的；理性的〈adj.〉
cérémonie	[seʁemoni]		仪式；典礼〈n.f.〉
côte	[kot]		肋骨；海岸；坡〈n.f.〉
côtelette	[kotəlɛt]		排骨；肉排〈n.f.〉
côtoyer	[kotwaje]		与……相处；靠近〈v.〉
côté	[kote]		边；旁边；方面〈n.m.〉
d'abord	[dabɔʁ]		首先〈adv.〉
d'autres	[dotʁ]		其他的；另一些〈adj.〉
dague	[dag]		匕首；短剑〈n.f.〉
daigner	[deɲe]		屈尊；惠予（正式）〈v.〉
dalle	[dal]		石板〈n.f.〉
dame	[dam]		女士；夫人〈n.f.〉
damner	[dane]		罚入地狱；诅咒〈v.〉
damné	[dane]		被诅咒的；该死的〈adj.〉
dandy	[dɑ̃di]		花花公子；时髦绅士〈n.m.〉
danger	[dɑ̃ʒe]		危险〈n.m.〉
dangereux	[dɑ̃ʒəʁø]		危险的〈adj.〉
danois	[danwa]		丹麦的；丹麦语〈adj.〉
dans	[dɑ̃]		在……里；……之后〈prép.〉
danse	[dɑ̃s]		舞蹈；跳舞〈n.f.〉
danser	[dɑ̃se]		跳舞〈v.〉
danseur	[dɑ̃sœʁ]		舞蹈演员〈n.m.〉
date	[dat]		日期〈n.f.〉
dater	[date]		注明日期；始于〈v.〉
dauphin	[dofɛ̃]		海豚；王太子〈n.m.〉
davantage	[davɑ̃taʒ]		更多；更加〈adv.〉
de	[də]		……的；从；由〈prép.〉
deal	[dil]		交易；毒品交易（口语）〈n.m.〉
dealer	[dilœʁ]		毒贩（口语）〈n.m.〉
debout	[dəbu]		站着；直立〈adv.〉
dedans	[dədɑ̃]		在里面；内部〈adv.〉
degré	[dəgʁe]		度数；程度〈n.m.〉
dehors	[døɔʁ]		在外面〈adv.〉
delta	[dɛlta]		三角洲〈n.m.〉
delà	[dəla]		在…那边；更远处〈adv.〉
demain	[dəmɛ̃]		明天〈adv.〉
demande	[dəmɑ̃d]		请求；要求；申请〈n.f.〉
demander	[dəmɑ̃de]		问；要求〈v.〉
demeure	[dəmœʁ]		住所（书面）〈n.f.〉
demeurer	[dəmœʁe]		居住；仍然是〈v.〉
demeuré	[dəmœʁe]		笨蛋（口语）〈n.m.〉
demi	[dəmi]		一半的；半个〈adj.〉
demi-frère	[dəmifʁɛʁ]		同父异母的兄弟〈n.m.〉
demi-heure	[dəmiœʁ]		半小时〈n.f.〉
demi-million	[dømimiljɔ̃]		五十万〈n.m.〉
demi-tour	[dəmituʁ]		掉头；回转〈n.m.〉
dent	[dɑ̃]		牙齿〈n.f.〉
dentaire	[dɑ̃tɛʁ]		牙齿的〈adj.〉
dentelle	[dɑ̃tɛl]		花边；蕾丝〈n.f.〉
dentifrice	[dɑ̃tifʁis]		牙膏〈n.m.〉
dentiste	[dɑ̃tist]		牙医〈n.〉
depuis	[dəpɥi]		自从；自……以来〈prép.〉
dernier	[dɛʁnje]		最后的；最新的〈adj.〉
dernièrement	[dɛʁnjɛʁəmɑ̃]		最近；近来〈adv.〉
derrière	[dɛʁjɛʁ]		在…后面〈prép.〉
des	[de]		一些（不定冠词复数）〈art.〉
descendant	[desɑ̃dɑ̃]		后代；子孙〈n.m.〉
descendre	[desɑ̃dʁ]		下楼；下来；下降〈v.〉
descente	[desɑ̃t]		下降；下坡〈n.f.〉
description	[deskʁipsjɔ̃]		描写；描述〈n.f.〉
dessein	[desɛ̃]		意图；打算〈n.m.〉
desserrer	[deseʁe]		松开；拧松〈v.〉
dessert	[desɛʁ]		甜点〈n.m.〉
dessin	[desɛ̃]		图画；素描〈n.m.〉
dessiner	[desine]		画；绘制〈v.〉
dessous	[dəsu]		下面；底部〈n.m.〉
dessus	[dəsy]		在上面；其上〈adv.〉
dessécher	[deseʃe]		使干枯；变干〈v.〉
destin	[destɛ̃]		命运〈n.m.〉
destination	[destinasjɔ̃]		目的地〈n.f.〉
destiner	[destine]		指定给；预定〈v.〉
destinée	[destine]		命运；天命〈n.f.〉
destructeur	[destʁyktœʁ]		破坏性的〈adj.〉
destruction	[destʁyksjɔ̃]		破坏；毁灭〈n.f.〉
dette	[dɛt]		债；债务〈n.f.〉
deuil	[dœj]		哀悼；丧事〈n.m.〉
deux	[dø]		二；两个〈adj.〉
deuxième	[døzjɛm]		第二〈adj.〉
deuxièmement	[døzjɛməmɑ̃]		第二；其次〈adv.〉
devancer	[dəvɑ̃se]		领先；居先〈v.〉
devant	[dəvɑ̃]		在…前面〈prép.〉
devenir	[dəvəniʁ]		变成；成为〈v.〉
deviner	[dəvine]		猜出；猜中〈v.〉
devinette	[dəvinɛt]		谜语〈n.f.〉
devise	[dəviz]		格言；货币〈n.f.〉
devoir	[dəvwaʁ]		必须；应当；欠〈v.〉
diable	[djabl]		魔鬼；恶魔〈n.m.〉
diabolique	[djabolik]		恶魔般的；邪恶的〈adj.〉
diabète	[djabɛt]		糖尿病〈n.m.〉
diagnostic	[djagnostik]		诊断；判断〈n.m.〉
dialogue	[djalɔg]		对话；对白〈n.m.〉
diamant	[djamɑ̃]		钻石〈n.m.〉
diarrhée	[djaʁe]		腹泻〈n.f.〉
dictateur	[diktatœʁ]		独裁者〈n.m.〉
dictature	[diktatyʁ]		独裁；专政〈n.f.〉
dicter	[dikte]		口授；听写〈v.〉
dictionnaire	[diksjonɛʁ]		词典；字典〈n.m.〉
dicton	[diktɔ̃]		俗语；谚语〈n.m.〉
dictée	[dikte]		听写〈n.f.〉
dieu	[djø]		上帝；神〈n.m.〉
difficile	[difisil]		困难的；难办的〈adj.〉
difficilement	[difisiləmɑ̃]		困难地〈adv.〉
difficulté	[difikylte]		困难；难点〈n.f.〉
diffuser	[difyze]		播放；传播〈v.〉
diffusion	[difyzjɔ̃]		播出；传播；散发〈n.f.〉
différemment	[difeʁamɑ̃]		不同地〈adv.〉
différence	[difeʁɑ̃s]		差别；不同〈n.f.〉
différencier	[difeʁɑ̃sje]		区分；使有别〈v.〉
différend	[difeʁɑ̃]		争端；分歧〈n.m.〉
différent	[difeʁɑ̃]		不同的；有差别的〈adj.〉
différer	[difeʁe]		推迟；相异〈v.〉
digital	[diʒital]		数字的；指部的〈adj.〉
digne	[diɲ]		值得的；有尊严的〈adj.〉
dignité	[diɲite]		尊严〈n.f.〉
digérer	[diʒeʁe]		消化；领会〈v.〉
dilemme	[dilɛm]		两难；困境〈n.m.〉
diligence	[diliʒɑ̃s]		驿站马车；勤勉（正式）〈n.f.〉
dimanche	[dimɑ̃ʃ]		星期日；周日〈n.m.〉
dimension	[dimɑ̃sjɔ̃]		尺寸；范围；维度〈n.f.〉
diminuer	[diminɥe]		减少；降低〈v.〉
dinde	[dɛ̃d]		火鸡〈n.f.〉
dingue	[dɛ̃g]		疯的（口语）〈adj.〉
dinosaure	[dinozoʁ]		恐龙〈n.m.〉
diplomate	[diplomat]		外交官〈n.〉
diplomatique	[diplomatik]		外交的；圆通的〈adj.〉
diplôme	[diplom]		文凭；证书〈n.m.〉
dire	[diʁ]		说；讲〈v.〉
direct	[diʁɛkt]		直接的；直的〈adj.〉
directement	[diʁɛktəmɑ̃]		直接地〈adv.〉
directeur	[diʁɛktœʁ]		经理；校长；主任〈n.m.〉
direction	[diʁɛksjɔ̃]		方向；管理部门〈n.f.〉
directive	[diʁɛktiv]		指令；指示〈n.f.〉
dirigeant	[diʁiʒɑ̃]		领导人；主管〈n.m.〉
diriger	[diʁiʒe]		领导；管理；操纵〈v.〉
disciple	[disipl]		门徒；追随者〈n.〉
discipline	[disiplin]		纪律；学科〈n.f.〉
discours	[diskuʁ]		演讲；话语〈n.m.〉
discret	[diskʁɛ]		谨慎的；低调的〈adj.〉
discrètement	[diskʁɛtəmɑ̃]		谨慎地；低调地〈adv.〉
discrétion	[diskʁesjɔ̃]		谨慎；慎重〈n.f.〉
discussion	[diskysjɔ̃]		讨论；谈话〈n.f.〉
discuter	[diskyte]		讨论；交谈〈v.〉
disjoncter	[disʒɔ̃kte]		跳闸；失常（口语）〈v.〉
disparaître	[dispaʁɛtʁ]		消失；失踪〈v.〉
disparition	[dispaʁisjɔ̃]		消失；失踪〈n.f.〉
disparu	[dispaʁy]		失踪者；死者；消失的〈n.m.〉
dispenser	[dispɑ̃se]		讲授；授予；免除〈v.〉
disperser	[dispɛʁse]		使分散；驱散〈v.〉
disponible	[disponibl]		可用的；有空的〈adj.〉
disposer	[dispoze]		布置；拥有〈v.〉
dispositif	[dispozitif]		装置；机制〈n.m.〉
disposition	[dispozisjɔ̃]		安排；处置〈n.f.〉
dispute	[dispyt]		争吵〈n.f.〉
disputer	[dispyte]		争夺；争吵〈v.〉
disque	[disk]		唱片；圆盘〈n.m.〉
dissimuler	[disimyle]		隐藏；掩饰〈v.〉
dissiper	[disipe]		驱散；消除〈v.〉
dissoudre	[disudʁ]		溶解；解散〈v.〉
dissuader	[disɥade]		劝阻；打消念头〈v.〉
distance	[distɑ̃s]		距离；间距〈n.f.〉
distant	[distɑ̃]		冷淡的；疏远的〈adj.〉
distinct	[distɛ̃]		清楚的；不同的〈adj.〉
distinction	[distɛ̃ksjɔ̃]		区别；殊荣〈n.f.〉
distinguer	[distɛ̃ge]		区分；辨别〈v.〉
distingué	[distɛ̃ge]		高雅的；有气派的〈adj.〉
distraction	[distʁaksjɔ̃]		消遣；分心〈n.f.〉
distraire	[distʁɛʁ]		使分心；消遣〈v.〉
distribuer	[distʁibɥe]		分发；分配〈v.〉
distributeur	[distʁibytœʁ]		自动售货机；经销商〈n.m.〉
distribution	[distʁibysjɔ̃]		分发；分配；演员阵容〈n.f.〉
district	[distʁikt]		区；行政区〈n.m.〉
diva	[diva]		女歌唱家；大牌歌星〈n.f.〉
divaguer	[divage]		胡扯；胡言乱语〈v.〉
divan	[divɑ̃]		软榻；长沙发〈n.m.〉
divers	[divɛʁ]		各种各样的〈adj.〉
diversion	[divɛʁsjɔ̃]		转移注意力；牵制〈n.f.〉
divertir	[divɛʁtiʁ]		使消遣；使娱乐〈v.〉
divertissement	[divɛʁtisəmɑ̃]		娱乐；消遣〈n.m.〉
divin	[divɛ̃]		神的；神圣的〈adj.〉
divinité	[divinite]		神；神性〈n.f.〉
diviser	[divize]		分开；划分；除〈v.〉
division	[divizjɔ̃]		分开；除法；部门〈n.f.〉
divorce	[divɔʁs]		离婚〈n.m.〉
divorcer	[divɔʁse]		离婚〈v.〉
divorcé	[divɔʁse]		离婚者；离婚的〈n.m.〉
divulguer	[divylge]		泄露；透露〈v.〉
dix	[dis]		十；十个〈adj.〉
dix-huit	[dizɥit]		十八〈adj.〉
dix-sept	[disɛt]		十七〈adj.〉
dizaine	[dizɛn]		十来个〈n.f.〉
do	[do]		哆（唱名）〈n.m.〉
dock	[dɔk]		码头；船坞〈n.m.〉
docteur	[dɔktœʁ]		医生；博士〈n.m.〉
doctorat	[dɔktoʁa]		博士学位〈n.m.〉
document	[dokymɑ̃]		文件；文献〈n.m.〉
documentaire	[dokymɑ̃tɛʁ]		纪录片〈n.m.〉
dodo	[dodo]		睡觉（儿语）〈n.m.〉
doigt	[dwa]		手指〈n.m.〉
dollar	[dolaʁ]		美元〈n.m.〉
domaine	[domɛn]		领域；庄园〈n.m.〉
domestique	[domɛstik]		仆人；家庭的〈n.〉
domicile	[domisil]		住所；家〈n.m.〉
dominant	[dominɑ̃]		占优势的；主导的〈adj.〉
domination	[dominasjɔ̃]		统治；支配〈n.f.〉
dominer	[domine]		支配；统治；俯瞰〈v.〉
dommage	[domaʒ]		遗憾；可惜；损失〈n.m.〉
dompteur	[dɔ̃ptœʁ]		驯兽师〈n.m.〉
don	[dɔ̃]		天赋；捐赠〈n.m.〉
donc	[dɔ̃k]		所以；因此〈conj.〉
donjon	[dɔ̃ʒɔ̃]		城堡主塔〈n.m.〉
donne	[dɔn]		牌局；形势〈n.〉
donner	[done]		给；给予〈v.〉
donneur	[donœʁ]		捐赠者；献血者〈n.m.〉
donné	[done]		给定的；已知的〈adj.〉
donnée	[done]		数据；资料〈n.f.〉
dont	[dɔ̃]		其中；…的〈pron.〉
dorer	[doʁe]		镀金；晒成金色〈v.〉
dormir	[dɔʁmiʁ]		睡觉〈v.〉
dortoir	[dɔʁtwaʁ]		宿舍；大寝室〈n.m.〉
doré	[doʁe]		金色的；镀金的〈adj.〉
dorénavant	[doʁenavɑ̃]		从今以后〈adv.〉
dos	[do]		背；背部〈n.m.〉
dose	[doz]		剂量；一剂〈n.f.〉
dossier	[dosje]		案卷；文件夹〈n.m.〉
dot	[dɔt]		嫁妆〈n.f.〉
doter	[dote]		赋予；配备〈v.〉
douane	[dwan]		海关；关税〈n.f.〉
double	[dubl]		两倍的；双重的〈adj.〉
doubler	[duble]		超车；加倍；配音〈v.〉
doublure	[dublyʁ]		替身；衬里〈n.f.〉
doucement	[dusəmɑ̃]		轻轻地；温和地〈adv.〉
douceur	[dusœʁ]		温柔；柔和〈n.f.〉
douche	[duʃ]		淋浴〈n.f.〉
doucher	[duʃe]		给…淋浴；冲洗〈v.〉
douer	[dwe]		使有天赋〈v.〉
douille	[duj]		弹壳；套筒〈n.f.〉
douillet	[dujɛ]		怕冷的；柔软舒适的〈adj.〉
douleur	[dulœʁ]		疼痛；痛苦〈n.f.〉
douloureux	[duluʁø]		疼痛的；痛苦的〈adj.〉
doute	[dut]		怀疑；疑问〈n.m.〉
douter	[dute]		怀疑；疑心〈v.〉
douteux	[dutø]		可疑的；靠不住的〈adj.〉
doux	[du]		温柔的；柔软的；甜的〈adj.〉
douzaine	[duzɛn]		一打；约十二个〈n.f.〉
douze	[duz]		十二〈adj.〉
doué	[dwe]		有天赋的〈adj.〉
doyen	[dwajɛ̃]		年长者；系主任〈n.m.〉
dragon	[dʁagɔ̃]		龙〈n.m.〉
draguer	[dʁage]		搭讪；调情〈v.〉
dramatique	[dʁamatik]		悲剧性的；严重的〈adj.〉
dramatiser	[dʁamatize]		夸张渲染；戏剧化〈v.〉
drame	[dʁam]		悲剧；惨剧〈n.m.〉
drap	[dʁa]		床单〈n.m.〉
drapeau	[dʁapo]		旗帜〈n.m.〉
dresser	[dʁese]		竖起；训练；拟定〈v.〉
